hour,electricity_production,heat_production,refrigeration_produced,purchased_electricity,heat_stored,electrical_efficiency,thermal_efficiency,carbon_credits,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,model_cost
15,0.040192973018649214,0.16077189207459686,0.6430875675788913,3.5117738899388717,7.010368836079613e-10,,,0,0,0,0,2729987.098184517
16,0.04723843432558052,0.18895373730232207,0.7558149485077195,3.207693849343059,6.853243197481126e-10,,,0,0,0,0,2729987.098184517
17,0.050739703225292254,0.20295881290116902,0.8118352500705945,2.9896278346657,7.567246129497819e-10,,,0,0,0,0,2729987.098184517
18,0.042000503009384016,0.16800201203753606,0.6720080474707912,2.858857256843891,7.349668102336148e-10,,,0,0,0,0,2729987.098184517
19,0.04472221675565011,0.17888886702260043,0.7155554674210842,2.6097458754095912,7.128188987042827e-10,,,0,0,0,0,2729987.098184517
20,0.04496071300962971,0.17984285203851885,0.7193714075154233,2.1581163358186126,6.882076501043732e-10,,,0,0,0,0,2729987.098184517
21,0.034219287709084834,0.13687715083633933,0.5475085992915152,2.043251417282307,1.046523458705522e-09,,,0,0,0,0,2729987.098184517
22,0.03915615150129471,0.15662460600517883,0.6264984226247886,1.680821046001975,1.0811773911822187e-09,,,0,0,0,0,2729987.098184517
23,0.033127953108626595,0.13251181243450638,0.5300472490810818,1.4566128499731503,1.0395176937709863e-09,,,0,0,0,0,2729987.098184517
24,0.03531526419686695,0.1412610567874678,0.5650442264747886,1.3131086234315517,1.00175616455379e-09,,,0,0,0,0,2729987.098184517
25,0.03574492069017358,0.1429796827606943,0.571918730298569,1.3632979481628968,9.72365418874281e-10,,,0,0,0,0,2729987.098184517
26,0.026020138401773175,0.1040805536070927,0.4163222137378765,1.1928084371858274,9.396420739944324e-10,,,0,0,0,0,2729987.098184517
27,0.0325358907914208,0.1301435631656832,0.520574250173634,1.0456859918375614,1.1045238292896646e-09,,,0,0,0,0,2729987.098184517
28,0.03069353384733549,0.12277413538934195,0.4910965405649786,1.1512868759817476,1.0950321588052563e-09,,,0,0,0,0,2729987.098184517
29,0.030189431976028767,0.12075772790411507,0.4830309110835521,1.414204064271813,1.0432593927502466e-09,,,0,0,0,0,2729987.098184517
30,0.0305711737904916,0.1222846951619664,0.4891387799583414,1.7192507817855134,1.0079823317388008e-09,,,0,0,0,0,2729987.098184517
31,0.03623319989541564,0.14493279958166255,0.5797311968140321,1.7870765761350835,1.0603094434919494e-09,,,0,0,0,0,2729987.098184517
32,0.024422536643306066,0.09769014657322427,0.3907605853329735,2.258518952860576,1.0512060402824188e-09,,,0,0,0,0,2729987.098184517
33,0.03918575075065387,0.15674300300261548,0.6269720113249685,2.440416056963302,1.0161346521127536e-09,,,0,0,0,0,2729987.098184517
34,0.03715501175366438,0.14862004701465753,0.5944801872213392,2.7099410864394837,9.97597161974848e-10,,,0,0,0,0,2729987.098184517
35,0.037325463810129966,0.14930185524051987,0.5972074202245525,2.9447852398872882,9.706754876213714e-10,,,0,0,0,0,2729987.098184517
36,0.041617198795553256,0.16646879518221303,0.665875180256227,3.248431721385177,9.220251703462602e-10,,,0,0,0,0,2729987.098184517
37,0.04121140086531849,0.16484560346127397,0.6593824129883444,3.265913208905097,9.109398188834691e-10,,,0,0,0,0,2729987.098184517
38,0.03681438665557303,0.14725754662229212,0.5890301857060034,3.3004179491616887,8.932132544159989e-10,,,0,0,0,0,2729987.098184517
39,0.03860630457113879,0.15442521828455516,0.617700872361822,3.4160207033686207,8.757010260512309e-10,,,0,0,0,0,2729987.098184517
40,0.03741597476568386,0.14966389906273544,0.5986555953001381,3.191306030582485,8.765272951932482e-10,,,0,0,0,0,2729987.098184517
41,0.041771598345301024,0.1670863933812041,0.6683455728231096,3.054686943050674,8.527294320012703e-10,,,0,0,0,0,2729987.098184517
42,0.04153455183939723,0.1661382073575889,0.6645528285589846,2.807421962759152,8.46611155172239e-10,,,0,0,0,0,2729987.098184517
43,0.03583651494370143,0.14334605977480572,0.5733842381995208,2.5429901674664346,8.43580005134685e-10,,,0,0,0,0,2729987.098184517
44,0.03855260590905282,0.1542104236362113,0.6168416939516362,2.429854139546552,8.114183699535142e-10,,,0,0,0,0,2729987.098184517
45,0.03895764429709518,0.15583057718838073,0.6233223076947999,1.7802149722233491,8.262654184006933e-10,,,0,0,0,0,2729987.098184517
46,0.036810389982661874,0.1472415599306475,0.5889662391682187,1.8346772278126569,7.912567961295579e-10,,,0,0,0,0,2729987.098184517
47,0.033160953372600964,0.13264381349040386,0.5305752525710111,1.5349948262842295,8.422456273029614e-10,,,0,0,0,0,2729987.098184517
48,0.034584162778476764,0.13833665111390706,0.5533466038175465,1.1618012683122605,8.133160003920447e-10,,,0,0,0,0,2729987.098184517
49,0.03081944858055614,0.12327779432222456,0.4931111758667323,1.0753607931578077,8.663089632748257e-10,,,0,0,0,0,2729987.098184517
50,0.03293373466144121,0.13173493864576483,0.5269397536528005,1.167027071430523,8.63989858597812e-10,,,0,0,0,0,2729987.098184517
51,0.029615652125048512,0.11846260850019405,0.4738504328597748,1.2671220737572344,8.836436961991874e-10,,,0,0,0,0,2729987.098184517
52,0.027160433128139448,0.10864173251255779,0.4345669290447777,1.1926829457573445,8.880493059138774e-10,,,0,0,0,0,2729987.098184517
53,0.026232846133343687,0.10493138453337475,0.41972553725762,1.5471515580861996,8.789548056212222e-10,,,0,0,0,0,2729987.098184517
54,0.027354265655252494,0.10941706262100998,0.4376682495590828,1.5996316273063111,8.751606672566384e-10,,,0,0,0,0,2729987.098184517
55,0.02963210812220589,0.11852843248882355,0.474113728981567,1.8507084169119312,8.764422829605722e-10,,,0,0,0,0,2729987.098184517
56,0.03099170104295929,0.12396680417183716,0.495867215094562,2.245380137807307,9.445109169685942e-10,,,0,0,0,0,2729987.098184517
57,0.03552087256423603,0.1420834902569441,0.5683339596684153,2.4724385528918305,9.83466455807689e-10,,,0,0,0,0,2729987.098184517
58,0.0319152629465974,0.1276610517863896,0.5106442066895833,2.8975079805999893,9.31998120284323e-10,,,0,0,0,0,2729987.098184517
59,0.03710333958049866,0.14841335832199465,0.5936534324998077,3.200211904713944,9.12262161473718e-10,,,0,0,0,0,2729987.098184517
60,0.03621077186081529,0.14484308744326116,0.5793723490378659,3.1643403867136217,8.885482369016815e-10,,,0,0,0,0,2729987.098184517
61,0.03905620690715684,0.15622482762862736,0.6248993094187597,3.1862176015076944,9.023214750661599e-10,,,0,0,0,0,2729987.098184517
62,0.03689630364178565,0.1475852145671426,0.5903408575468014,3.364680680098698,8.77860571134947e-10,,,0,0,0,0,2729987.098184517
63,0.040919912249383426,0.1636796489975337,0.6547185950332837,3.308547420396597,8.77727581339392e-10,,,0,0,0,0,2729987.098184517
64,0.04287082850848041,0.17148331403392164,0.6859332546668223,3.4053956197723547,9.323128824418106e-10,,,0,0,0,0,2729987.098184517
65,0.041916039810588876,0.1676641592423555,0.6706566361686097,2.943385771110769,9.137829412190998e-10,,,0,0,0,0,2729987.098184517
66,0.039096848602414476,0.1563873944096579,0.6255495767669502,2.853644861006305,9.032783205250064e-10,,,0,0,0,0,2729987.098184517
67,0.040158073503586314,0.16063229401434526,0.6425291746974031,2.5262963964324654,9.447922327439194e-10,,,0,0,0,0,2729987.098184517
68,0.04219927276517469,0.16879709106069876,0.6751883634383782,2.2644244361277677,9.262394368129741e-10,,,0,0,0,0,2729987.098184517
69,0.037642115438738154,0.15056846175495261,0.6022738463903131,2.00519216227366,8.923569871129276e-10,,,0,0,0,0,2729987.098184517
70,0.03771107411835623,0.15084429647342493,0.6033771850954478,1.5541265433293179,8.759205852771548e-10,,,0,0,0,0,2729987.098184517
71,0.030021335032074402,0.12008534012829761,0.4803413597309193,1.5680787842036952,8.586564920204606e-10,,,0,0,0,0,2729987.098184517
72,0.03028090258272042,0.12112361033088168,0.4844944405101001,1.1517829336531338,8.452222938347409e-10,,,0,0,0,0,2729987.098184517
73,0.02833032020128444,0.11332128080513776,0.4532851226249542,1.0599498828552945,8.120479589986776e-10,,,0,0,0,0,2729987.098184517
74,0.0254592096973508,0.1018368387894032,0.407347354622353,1.05185559689642,7.753674496500123e-10,,,0,0,0,0,2729987.098184517
75,0.035798401469152384,0.14319360587660954,0.5727744226075059,1.1420754487423346,7.736490338658925e-10,,,0,0,0,0,2729987.098184517
76,0.028151056992759965,0.11260422797103986,0.45041691034062,1.263849820358803,8.403077331971201e-10,,,0,0,0,0,2729987.098184517
77,0.031199010833544143,0.12479604333417657,0.4991841727087109,1.2347537338789318,8.090167646183373e-10,,,0,0,0,0,2729987.098184517
78,0.026562977969804297,0.10625191187921719,0.4250076464076581,1.7355768240928238,8.26020123167985e-10,,,0,0,0,0,2729987.098184517
79,0.034352555061482964,0.13741022024593186,0.5496408789823445,1.9759036876227187,9.403785142638842e-10,,,0,0,0,0,2729987.098184517
