Year,Hour,ElectricityProduction,HeatProduction,PurchasedElectricity,HeatOverProduction,ElectricityOverProduction,CO2Emissions,HeatStored,HeatWithdrawn,ElecReductionByCHP,HeatReductionByCHP,GridReductionShortfall,HeatToElec,UsefulHeat,UsefulElec,HeatToPlant,ElecToPlant,RefrigerationProduced,HeatUsedForCooling,ElecUsedForCooling,RampRate,ProductionOutput
0,5920,0.0,2210.1500006012434,749.99999999827,6.212298360226669e-07,0.0,0.0,1.0217750921145385e-06,3.651348131514729e-08,1.729958695136724e-09,1.729958695136724e-09,0.0,0.0,2210.1499999800135,0.0,2157.8999999982702,0.0,209.0,104.5,0.0,400.0,2325.5999999972323
0,5921,0.0,2332.4000005987723,621.99999999827,6.187765318129394e-07,0.0,0.0,1.206979500373613e-06,3.65475515208348e-08,1.7299586934662251e-09,1.7299586934662251e-09,0.0,0.0,2332.3999999799958,0.0,2278.8999999982702,0.0,214.0,107.0,0.0,400.0,2319.9999999972324
0,5922,0.0,2410.3999997524593,564.999999998098,2.0273092914063623e-08,0.0,0.0,9.31230502025701e-08,5.318220108046973e-07,1.9020242221433844e-09,1.9020242221433844e-09,0.0,0.0,2410.399999732186,0.0,2356.899999998098,0.0,214.0,107.0,0.0,400.0,2336.799999996957
0,5923,0.0,2010.3999997751748,760.999999998263,83.24999986408088,0.0,0.0,41.62499967183072,1.743383099635288e-07,1.7369806896087538e-09,1.7369806896087538e-09,0.0,0.0,1927.149999911094,0.0,1874.8999999982632,0.0,209.0,104.5,0.0,400.0,2107.9999999972206
0,5924,0.0,1610.3999998109598,627.9999999982393,1044.7499999890788,0.0,0.0,561.9187489773448,3.52716900449844e-07,1.7606361812904294e-09,1.7606361812904294e-09,0.0,0.0,565.6499998218809,0.0,512.8999999982393,0.0,211.0,105.5,0.0,400.0,911.9999999971831
0,5925,0.0,1210.3999999087334,700.9999999982518,608.2499999858958,0.0,0.0,837.9478112197694,1.5082810336115376e-07,1.7481667898087982e-09,1.7481667898087982e-09,0.0,0.0,602.1499999228377,0.0,549.8999999982518,0.0,209.0,104.5,0.0,400.0,999.9999999972028
0,5926,0.0,810.4000000776656,766.9999999982499,183.2500001548425,0.0,0.0,887.6754204344951,1.5085353274863957e-07,1.750128454702392e-09,1.750128454702392e-09,0.0,0.0,627.1499999228231,0.0,577.8999999982499,0.0,197.0,98.5,0.0,400.0,1075.1999999971997
0,5927,0.0,573.4970951332145,607.9999999981998,5.912613687542034e-08,0.0,0.0,618.6800297458879,112.30580984822276,1.8001870541306586e-09,1.8001870541306586e-09,0.0,0.0,573.4970950740884,0.0,580.8999999981997,0.0,195.0,97.5,0.0,400.0,950.3999999971197
0,5928,0.0,646.4000002182534,675.9999999982383,2.8887359349027975e-07,0.0,0.0,587.7460281275966,1.3771674977561743e-07,1.7616593311446672e-09,1.7616593311446672e-09,0.0,0.0,646.3999999293798,0.0,598.8999999982383,0.0,190.0,95.0,0.0,400.0,1019.1999999971813
0,5929,0.0,587.1499998366953,719.9999999981993,6.932521046110196e-08,0.0,0.0,558.3587258325623,4.616585559593834e-07,1.8007199376246743e-09,1.8007199376246743e-09,0.0,0.0,587.1499997673701,0.0,532.8999999981993,0.0,217.0,108.5,0.0,400.0,1001.599999997119
0,5930,0.0,891.15000039292,447.99999999820835,341.75000048642323,0.0,0.0,701.3157894172997,1.8342308963269573e-07,1.7916418755108535e-09,1.7916418755108535e-09,0.0,0.0,549.3999999064968,0.0,501.89999999820833,0.0,190.0,95.0,0.0,400.0,759.1999999971333
