Time,electricity_production,heat_production,fuel_consumed,heat_to_elec,electrical_efficiency,thermal_efficiency,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,fuel_energy,invest_h2,invest_time,active_h2_blending,invest_eb,invest_time_eb,active_eb,heat_to_plant,elec_to_plant,useful_heat,useful_elec,purchased_electricity,heat_stored,heat_withdrawn,heat_over_production,electricity_over_production,ramp_rate,refrigeration_produced,heat_used_for_cooling,elec_used_for_cooling,co2_emissions,total_emissions_per_interval,carbon_credits,credits_purchased,credits_earned,credits_sold,exceeds_cap,credits_held,emissions_difference,credits_used_to_offset,below_cap,invest_ccs,invest_time_ccs,active_ccs,transport_cost,captured_co2,uncaptured_co2,ccs_energy_penalty,total_fuel_co2_active_ccs
10,1497.4068521846734,5989.627408738694,7986.169878318258,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,5886.931598544958,1497.4068521846734,5989.627408738694,1497.4068521846734,145.75682617233042,0.0,0.0,0.0,0.0,5000,410.78324077494017,205.39162038747008,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2047.2339756636518,0.0,0.0
11,1658.569161667213,6634.276646668852,8845.70219555847,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,6528.48179041046,1658.569161667213,6634.276646668852,1658.569161667213,32.32247099382357,0.0,0.0,0.0,0.0,5000,423.1794250335657,211.58971251678284,0.0,0,25206.95141726018,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2219.140439111694,0.0,0.0
12,1786.983238242089,7147.932952968356,9530.577270624475,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7065.28487455842,1693.1102597798938,7147.932952968356,1786.983238242089,0.0,0.0,0.0,0.0,0.0,5000,424.46529210194126,165.29615681987303,93.8729784621952,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2451.4212268311394,0.0,0.0
13,1706.7864580710586,6827.1458322842345,9102.861109712312,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6775.436737084394,1531.8157159133546,6827.1458322842345,1706.7864580710586,0.0,0.0,0.0,0.0,0.0,5000,381.8071229570679,103.41819039968192,174.97074215770408,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2361.6008330395853,0.0,0.0
14,1949.7200245763906,7798.880098305563,10398.50679774075,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7754.798304660769,1701.4242538003084,7798.880098305563,1949.7200245763906,0.0,0.0,0.0,0.0,0.0,5000,424.6229453552592,88.16358728958846,248.2957707760823,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2633.6864275255575,0.0,0.0
15,1754.6198678217652,7018.479471287061,9357.972628382748,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6969.190548411433,1560.5813222524216,7018.479471287061,1754.6198678217652,0.0,0.0,0.0,0.0,0.0,5000,391.1942370718533,98.57784575125488,194.03854556934354,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2415.1742519603768,0.0,0.0
16,1891.2028210720955,7564.811284288382,10086.415045717842,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7508.137082694002,1694.7459443143855,7564.811284288382,1891.2028210720955,0.0,0.0,0.0,0.0,0.0,5000,423.1536831352328,113.34840318876138,196.45687675771006,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2568.147159600747,0.0,0.0
17,1730.3852407550169,6921.5409630200675,9228.721284026757,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6841.728582280542,1638.00517971833,6921.5409630200675,1730.3852407550169,0.0,0.0,0.0,0.0,0.0,5000,411.62958399478896,159.62476147905113,92.38006103668671,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2388.031469645619,0.0,0.0
18,1295.5886880458916,5182.354752183566,6909.806336244755,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5093.057205897542,1295.5886880458916,5182.354752183566,1295.5886880458916,135.201227073082,0.0,0.0,0.0,0.0,5000,357.1901851440945,178.59509257204726,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1901.0593306113983,0.0,0.0
19,1546.7400874219416,6186.960349687766,8249.280466250355,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6081.120964802379,1546.7400874219416,6186.960349687766,1546.7400874219416,152.79180452895253,0.0,0.0,0.0,0.0,5000,423.3575395415504,211.6787697707752,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2182.3488979125746,0.0,0.0
20,1433.3396414233223,5733.358565693289,7644.478087591052,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5630.904437316473,1433.3396414233223,5733.358565693289,1433.3396414233223,213.36342604487777,0.0,0.0,0.0,0.0,5000,409.81651350726287,204.90825675363143,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2055.3403983941207,0.0,0.0
21,1478.7071460691295,5914.828584276518,7886.438112368691,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5809.250241321449,1478.7071460691295,5914.828584276518,1478.7071460691295,219.386752141432,0.0,0.0,0.0,0.0,5000,422.3133718202789,211.15668591013946,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2106.152003597425,0.0,0.0
22,1403.6846610194234,5614.738644077694,7486.318192103591,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,5516.453172947554,1403.6846610194234,5614.738644077694,1403.6846610194234,159.6880507861681,0.0,0.0,0.0,0.0,5000,393.14188452055794,196.57094226027897,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2022.1268203417542,0.0,0.0
23,1659.101091231709,6636.404364926836,8848.53915323578,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6529.86476259824,1659.101091231709,6636.404364926836,1659.101091231709,38.47279569827492,0.0,0.0,0.0,0.0,5000,426.1584093143812,213.0792046571906,0.0,0,27629.134082749824,2519.1340827495187,0,7.876951713114977e-08,0.0,0,7.846392691135406e-08,0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,2308.193222179514,0.0,0.0
24,1790.258367150961,7161.033468603844,9548.044624805125,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7078.884267388817,1696.2057382331195,7161.033468603844,1790.258367150961,0.0,0.0,0.0,0.0,0.0,5000,422.6494337779506,164.29840243005455,94.0526289178415,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2550.5698174571276,0.0,0.0
25,1708.4673216460233,6833.869286584093,9111.825715445457,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,6781.953199726193,1532.675850679275,6833.869286584093,1708.4673216460233,0.0,0.0,0.0,0.0,0.0,5000,383.4558183983501,103.83217371580093,175.79147096674825,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2454.6016573980005,0.0,0.0
26,1951.5024386870546,7806.009754748218,10408.013006330957,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7762.6021247106355,1700.4861145418383,7806.009754748218,1951.5024386870546,0.0,0.0,0.0,0.0,0.0,5000,424.64684429554745,86.81526007516558,251.0163241452163,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2739.7628613928105,0.0,0.0
27,1889.7587360512805,7559.034944205122,10078.713258940163,0.0,1,1,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,7518.508409841165,1641.9646100383366,7559.034944205122,1889.7587360512805,0.0,0.0,0.0,0.0,0.0,5000,409.9002634687728,81.05306872791441,247.79412601294396,0,28725.931349881084,5373.631349880779,0,0.0,0.0,0,7.962808012962341e-08,0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,2667.316916966836,0.0,0.0
